1,Hazrat Ganj,226001,26.8541536,80.9447827
2,Aminabad,226018,26.8462576,80.9263283
3,Rajaji Puram,226017,26.8379544,80.8765463
4,Sadatganj,226003,26.8569949,80.886203
5,Indra Nagar,226016,26.8967693,80.9989138
6,Gomti Nagar,226010,26.8496217,81.0072193
